taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
Amaranthus cruentus,,plant,plantae,,,,,,,,Amaranthus,cruentus,,,,cereals and millets,,,Amaranthus cruentus,,,,,north india,,,amaranth seed,,,,,"cereals and millets, moricha guti, ramdana, danthu beeja, mawal, cheera vithu, chengkruk maru, cavali biya, kosala sag manji dhala","Amaranth seed, black [A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.]","AMARANTH SEED, BLACK",14.59,5.74,59.98,2.78,356.1,55.83,0.46,0.22,0.1,,0.1,,9.89,,,1490.0,0.88,,7.02,0.181,0.00933,0.325,0.374,0.433,0.0027,0.00266,0.00081,,0.00529,1.646e-05,,,,,,5e-05,,5.867e-05,,,,1.025e-05,0.00028,4e-05,,,,,,,4e-05,4e-05,0.00045,0.00024,0.0005,2.744e-05,,,,,1.8e-06,,,,,0.00021884999999999998,0.000440618,0.00041143800000000003,0.000704697,0.000795155,0.000271374,0.00023344000000000001,0.000580682,0.000415815,0.0006332060000000001,0.001133643,0.000271374,0.0006215340000000001,0.001833963,0.0023519079999999998,0.0012401500000000002,0.000548584,0.001136561,,,,1.28,,,,,,0.01564,1.043,0.155,0.038,1.02,,,,,0.01607,,,,0.01262,,,,,,,,1.033,2.279,,,0.01214,,,,,,,,,,,,2.259,,,,,,,,,0.02091,,,,,,,
Amaranthus cruentus,,plant,plantae,,,,,,,,Amaranthus,cruentus,,,,cereals and millets,,,Amaranthus cruentus,,,,,india,,,amaranth seed,,,,,"cereals and millets, moricha guti, rajagaro, ramdana, danthu beeja, mawal, cheera vithu, chengkruk maru, cavali biya","Amaranth seed, pale brown [A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.]","AMARANTH SEED, PALE BROWN",13.27,5.56,61.46,3.05,355.9,59.33,0.48,0.22,0.1,,,,9.2,,,1489.0,0.8,,7.47,0.162,0.00802,0.27,0.412,0.413,0.00281,0.00252,0.00056,,0.00444,2.141e-05,,,,,,6e-05,,5.398e-05,,,,4.11e-06,0.00022,3e-05,,,,,,,4e-05,4e-05,0.00052,0.00028,0.00033,2.465e-05,,,,,2.5e-06,,,,,0.000224263,0.000396773,0.000378195,0.000655538,0.00072985,0.00025876500000000005,0.000200377,0.000630325,0.00041137,0.0005706099999999999,0.0009567670000000001,0.00026274599999999995,0.0005082410000000001,0.0016852899999999999,0.0023076530000000002,0.001098756,0.0005082410000000001,0.000964729,,,,1.14,,,,,,0.01068,0.891,0.172,0.03602,1.03,,,,,0.01561,,,,0.01271,,,,,,,,1.043,2.266,,,0.01351,,,,,,,,,,,,2.223,,,,,,,,,0.04303,,,,,,,
Pennisetum typhoideum,,plant,plantae,,,,,,,,Pennisetum,typhoideum,,,,cereals and millets,,,Pennisetum typhoideum,,,,,india,,,bajra,,,,,"cereals and millets, baajra, bajra, pearl millet, bajri, bajra, sajje, krai, kambam","Bajra [A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra.]",BAJRA,10.96,5.43,61.78,1.37,348.0,55.21,,0.6,0.21,,,,8.97,,,1456.0,0.81,,11.49,0.02735,0.00642,0.124,0.289,0.365,0.00411,0.00276,0.00054,,0.00112,3.04e-05,,,,2.823e-05,,0.0001,,5.65e-06,,,,2.969e-05,,0.00142,,,,,,,0.00025,0.0002,0.00086,0.0005,0.00027,3.611e-05,,,,,2.85e-06,,,,,0.000145768,0.00038908,0.00037812,0.0009337919999999999,0.000349624,0.000231256,0.00013480800000000001,0.000528272,0.000292632,0.000524984,0.000497584,0.00023564,0.000841728,0.000851592,0.001909232,0.00038579200000000004,0.00058088,0.000486624,,,,0.875,,,,,,,0.729,0.128,0.01821,1.04,,,,,,,0.00697,,,,,,,,,,1.047,1.984,,,,,,,,,,,,,,,1.844,,,,,,,,,0.14,,,,,,,
Hordeum vulgare,,plant,plantae,,,,,,,,Hordeum,vulgare,,,,cereals and millets,,,Hordeum vulgare,,,,,india,,,barley,,,,,"cereals and millets, barli, barley, jav, jau, barley, wushke, krai, barley",Barley [A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.],BARLEY,10.94,1.3,61.29,1.06,315.7,72.67,,0.06,,,,,9.77,,,1321.0,0.06,,15.64,0.02864,0.00156,0.04897,0.178,0.268,0.00756,0.0015,0.00043,,0.00124,1.861e-05,,,,,,1e-05,,,,,,5.39e-06,,,,,,,,,0.00036,0.00018,0.00284,0.00014,0.00031,3.158e-05,,,,,1.85e-06,,,,,0.00014003199999999998,0.00036102,0.00039712199999999997,0.000710006,0.000374148,0.000203484,0.00024068,0.000533872,0.000293192,0.0005229319999999999,0.000571068,0.00023302200000000002,0.00045948,0.000712194,0.00292645,0.00044088199999999997,0.001071026,0.00052512,,,,0.232,,,,,,,0.209,0.02335,,0.09079,,,,,,,,,,,,,,,,,0.09079,0.575,,,,,,,,,,,,,,,0.549,,,,,,,,,0.02632,,,,,,,
Sorghum vulgare,,plant,plantae,,,,,,,,Sorghum,vulgare,,,,cereals and millets,,,Sorghum vulgare,,,,,india,,,jowar,,,,,"cereals and millets, jowar, jowar, sorghum, jowar, jowar, jolada, pingu, krai",Jowar [A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.],JOWAR,9.97,1.73,67.68,1.39,334.1,59.7,0.6,0.1,0.57,,,,9.01,,,1398.0,1.27,,10.22,0.0276,0.00395,0.133,0.274,0.328,0.00542,0.00196,0.00045,,0.00119,2.629e-05,,,,8.29e-06,,4e-05,,3.96e-06,,,,9.08e-06,,0.00027,,,,,,,0.00035,0.00014,0.0021,0.00027,0.00028,3.942e-05,,,,,4.382e-05,,,,,0.00010269100000000001,0.000295112,0.000343965,0.0011993910000000002,0.00023030700000000002,0.000151544,0.000105682,0.00050847,0.00035991699999999996,0.000449647,0.000394812,0.000206379,0.0009162430000000001,0.000706873,0.002147538,0.00030707600000000004,0.000696903,0.000400794,,,,0.163,,,,,,,0.149,0.01422,,0.314,,,,,,,,,,,,,,,,,0.314,0.524,,,,,,,,,,,,,,,0.508,,,,,,,,,0.01654,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,cereals and millets,,,Zea mays,,,,,india,,,maize,,,,,"cereals and millets, makoi, bhutta, corn, makai, makka, mekke jola, makai, symbai riewhadem stem","Maize, dry [A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.]","MAIZE, DRY",8.8,3.77,64.77,1.17,334.1,59.35,0.7,0.8,0.16,,,,9.26,,,1398.0,1.66,,12.24,0.00891,0.00249,0.145,0.279,0.291,0.00444,0.00227,0.00045,,0.00071,8.69e-06,,,,0.000186,,0.00021,,3.36e-05,,0.00011,,0.000186,,0.00129,0.00038,5e-05,,,,,0.00033,9e-05,0.00269,0.00034,0.00034,2.581e-05,,,,,2.5e-06,,,,,5.016e-05,0.00028424,0.00032296,0.00107712,0.00023232,0.0001848,0.00013639999999999998,0.00045232,0.00032648,0.00047608,0.0003696,0.0002376,0.0006802399999999999,0.0005764,0.00170632,0.00028776,0.0006934399999999999,0.00040304,,,,0.413,,,,,,,0.363,0.04245,0.00714,0.7,,,,,,,,,0.00662,,,,,,,,0.706,1.606,,,,,,,,,,,,,,,1.565,,,,,,,,,0.04076,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,cereals and millets,,,Zea mays,,,,,india,,,maize,,,,,"cereals and millets, makoi, bhutta, corn, lili makai, makka, mekke jola, makai, riewhadem stem","Maize, tender, local [A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.]","MAIZE, TENDER, LOCAL",3.57,1.4,22.69,0.38,120.0,15.88,0.4,0.8,0.27,,,,68.29,,,502.0,1.47,,3.67,0.00635,0.00071,0.04762,0.163,0.167,0.00224,0.00097,0.00018,,0.00036,3.83e-06,,,,3.627e-05,,5e-05,,4.234e-05,,3.726e-05,,0.00011,,0.0004,3e-05,,,,,0.00426,0.00017,0.00012,0.00113,0.00035,0.00045,6.296e-05,,,,,2e-06,,,,,2.0705999999999998e-05,0.000106029,0.000126735,0.000360213,7.2114e-05,5.9619e-05,4.2125999999999996e-05,0.000141015,0.00011245499999999999,0.000126378,0.000108885,7.6755e-05,0.00035343,0.000329868,0.000715785,0.00016064999999999997,0.000282387,0.000216699,,,,0.109,,,,,,,0.09613,0.01088,0.00237,0.145,,,,,,,,,0.00185,,,,,,,,0.147,0.347,,,,,,,,,,,,,,,0.337,,,,,,,,,0.01046,,,,,,,
Zea mays,,plant,plantae,,,,,,,,Zea,mays,,,,cereals and millets,,,Zea mays,,,,,west india,,,maize,,,,,"cereals and millets, makoi, bhutta, corn, lili makai, makka, mekke jola, makai, riewhadem lieh","Maize, tender, sweet [A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.]","MAIZE, TENDER, SWEET",4.16,1.35,16.42,0.36,96.8,7.45,2.79,0.97,0.91,,,,74.4,,,405.0,4.67,,3.3,0.00637,0.00054,0.03651,0.121,0.297,0.00223,0.00077,0.00011,,0.00032,2.17e-06,,,,4.701e-05,,7e-05,,1.694e-05,,5.841e-05,,0.000108,,0.0003,3e-05,,,,,0.00572,0.0001,0.00014,0.00114,0.00032,0.00038,5.971e-05,,,,,1.8e-06,,,,,2.912e-05,0.000119808,0.00014352,0.000441376,8.5696e-05,7.3216e-05,5.6576e-05,0.00012688,0.000135616,0.00016140799999999998,0.000151008,8.9856e-05,0.000316576,0.00035568,0.000778752,0.00019344,0.00035776000000000004,0.000233792,,,,0.123,,,,,,,0.106,0.01436,0.00295,0.174,,,,,,,,,0.00205,,,,,,,,0.176,0.3,,,,,,,,,,,,,,,0.292,,,,,,,,,0.00765,,,,,,,
Chenopodium quinoa,,plant,plantae,,,,,,,,Chenopodium,quinoa,,,,cereals and millets,,,Chenopodium quinoa,,,,,north india,,,quinoa,,,,,"cereals and millets, kinwa, seemai thinai",Quinoa [H. Kinwa; Tam. Seemai Thinai],QUINOA,13.11,5.5,53.65,2.65,328.4,48.41,,1.41,,,,,10.43,,,1374.0,1.41,,14.66,0.198,0.00751,0.119,0.212,0.474,0.0045,0.00331,0.00048,,0.00177,7.81e-06,,,,5.12e-06,,0.00208,,,,,,1.188e-05,6e-05,0.00285,,,,,,,0.00083,0.00022,0.0017,0.00062,0.00021,0.000173,,,,,2e-06,,,,,0.00016387499999999999,0.000394611,0.000491625,0.000797088,0.000727605,0.00029366399999999996,0.000242535,0.000570285,0.000259578,0.000596505,0.0010291349999999998,0.00039067800000000004,0.000570285,0.00110124,0.001802625,0.00062928,0.0007433370000000001,0.000597816,,,,0.57,,,,,,0.08276,0.434,0.05288,,1.323,,,,,,0.04441,0.05679,,,,,,,,,,1.424,2.406,,,,,,,,,,,,,,,2.203,,,,,,,,,0.204,,,,,,,
Eleusine coracana,,plant,plantae,,,,,,,,Eleusine,coracana,,,,cereals and millets,,,Eleusine coracana,,,,,central india,,,ragi,,,,,"cereals and millets, ragi, ragi, finger millet, bavato, ragi, bhakri, ukrai, panjapulle",Ragi [A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.],RAGI,7.16,1.92,66.82,2.04,320.7,62.13,0.12,0.25,,,,,10.89,,,1342.0,0.34,,11.18,0.364,0.00462,0.146,0.21,0.443,0.00475,0.00253,0.00067,,0.00319,1.53e-05,,,,1.53e-06,,9e-05,,4.146e-05,,,,2.553e-05,,0.00066,,,,,,,0.00037,0.00017,0.00134,0.00029,5e-05,3.466e-05,,,,,3e-06,,,,,6.515600000000001e-05,0.000274944,0.00026492,0.0006343760000000001,0.000202628,0.000196184,0.00010596800000000001,0.00040812,0.000241292,0.00040454,0.000310028,0.00016969200000000001,0.000480436,0.00045824,0.0014477519999999998,0.000257044,0.000388072,0.00034439599999999996,,,,0.317,,,,,,,0.29,0.02786,,0.585,,,,,,,,,,,,,,,,,0.585,0.431,,,,,,,,,,,,,,,0.362,,,,,,,,,0.06858,,,,,,,
