taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,agar,,,,,"uk, british, dg","Agar, dried","AGAR, DRIED",1.3,1.2,,,16.0,,,,,,,,9.7,,,67.0,,,,760.0,20.6,620.0,50.0,110.0,110.0,14.4,,,4.3,,,,,,,,,,,,,,,,,,,,,,0.01,0.22,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,agar,,,,,"uk, british, dg","Agar, dried, soaked and drained","AGAR, DRIED, SOAKED AND DRAINED",0.2,0.1,,,2.0,,,,,,,,84.2,,,7.0,,,,110.0,3.5,75.0,8.0,20.0,10.0,2.5,,,0.4,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,alfalfa sprouts,,,,,"uk, british, dg","Alfalfa sprouts, raw","ALFALFA SPROUTS, RAW",4.0,0.7,0.4,,24.0,,,0.1,0.2,,,,93.4,,,100.0,0.3,,,32.0,1.0,27.0,70.0,79.0,6.0,0.9,0.16,,0.2,,,,16.0,96.0,,,,,,,,,,,,,,,,2.0,0.04,0.06,0.5,0.56,0.03,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,,,,,,,,,united kingdom,,,allspice,,,,,"uk, british, h","Allspice, ground","ALLSPICE, GROUND",6.1,8.7,,,,,,,,,,,8.5,,,,,,,660.0,7.1,130.0,110.0,1040.0,77.0,1.0,0.55,,1.7,,,,54.0,,,,,,,,,,,,,,,,,,0.1,0.06,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,almonds,,,,,"uk, british, ga","Almonds, flaked and ground","ALMONDS, FLAKED AND GROUND",21.1,55.8,6.9,,612.0,2.7,4.2,,,,,,4.2,,,2534.0,4.2,,,240.0,3.0,270.0,550.0,780.0,14.0,3.2,1.0,,1.7,2.0,,,,,,23.77,,,,,,,0.26,0.81,,,,,,,0.21,0.75,3.1,0.44,0.15,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,almonds,,,,,"uk, british, ga","Almonds, toasted","ALMONDS, TOASTED",21.0,52.5,5.9,,579.0,0.8,5.0,,,,0.1,,2.4,,,2394.0,5.1,,10.9,268.0,3.73,279.0,471.0,713.0,3.0,3.3,1.1,,2.23,2.0,,,,1.0,,23.7,,,,,,,0.32,0.72,0.09,,,,,,0.08,1.2,3.6,0.32,0.14,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,almonds,,,,,"uk, british, ga","Almonds, weighed with shells","ALMONDS, WEIGHED WITH SHELLS",7.8,18.5,1.9,,205.0,0.3,1.5,0.1,,,,,1.6,,,847.0,1.6,,4.6,100.0,1.37,100.0,178.0,271.0,,1.2,0.38,,0.81,2.0,,,,,,9.42,,,,,,,0.09,0.24,0.03,,,,,,0.08,0.42,1.3,0.17,0.05,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,almonds,,,,,"uk, british, ga","Almonds, whole kernels","ALMONDS, WHOLE KERNELS",21.2,49.9,5.3,,554.0,0.8,4.1,0.2,0.1,,,,4.4,,,2292.0,4.5,0.1,12.5,269.0,3.71,270.0,481.0,733.0,1.0,3.1,1.031,,2.18,4.0,,,,1.0,,25.47,,,,,,,0.23,0.64,0.07,,,,,,0.21,1.14,3.6,0.47,0.14,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,amaranth leaves,,,,,"uk, british, dg","Amaranth leaves, boiled in unsalted water","AMARANTH LEAVES, BOILED IN UNSALTED WATER",3.0,0.3,0.3,,16.0,0.1,,,0.2,,,,90.4,,,67.0,0.2,,,220.0,2.4,110.0,54.0,540.0,11.0,0.5,0.11,,0.9,,,,245.0,1370.0,160.0,,,,,80.0,,,,,,,,,,31.0,0.03,0.16,0.7,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,amaranth leaves,,,,,"uk, british, dg","Amaranth leaves, raw","AMARANTH LEAVES, RAW",3.5,0.3,0.3,,18.0,0.1,,,0.2,,,,88.9,,,75.0,0.2,,,270.0,3.0,130.0,65.0,620.0,13.0,0.6,0.13,,1.0,,,,285.0,1585.0,185.0,,,,,93.0,,,,,,,,,,42.0,0.07,0.22,0.7,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
